Epoch,MSE
0,0.21798394620418549
1,0.11849167943000793
2,0.04805990681052208
3,0.07191599905490875
4,0.050885092467069626
5,0.03692632168531418
6,0.04085701331496239
7,0.04624025151133537
8,0.0472538098692894
9,0.04398278519511223
10,0.03837447986006737
11,0.032851822674274445
12,0.029685834422707558
13,0.02955525927245617
14,0.02936248667538166
15,0.024345628917217255
16,0.014842852018773556
17,0.007131973747164011
18,0.010612730868160725
19,0.012064259499311447
20,0.003647082019597292
21,0.007657385431230068
22,0.008752156049013138
23,0.0037575997412204742
24,0.0033591785468161106
25,0.006231045350432396
26,0.007141060661524534
27,0.0048563675954937935
28,0.0022253580391407013
29,0.00281443796120584
30,0.004548765253275633
31,0.0027579839807003736
32,0.0013847138034179807
33,0.0028239251114428043
34,0.0035172158386558294
35,0.00210191635414958
36,0.0010686113964766264
37,0.0018474259413778782
38,0.0023978485260158777
39,0.0016264935256913304
40,0.0012070948723703623
41,0.0016606271965429187
42,0.0019030680414289236
43,0.0014026716817170382
44,0.0009147162782028317
45,0.0011967259924858809
46,0.001540886820293963
47,0.0011802082881331444
48,0.0009066764614544809
49,0.0011336928000673652
50,0.0012163295177742839
51,0.0009540353203192353
52,0.0008764114463701844
53,0.0011025691637769341
54,0.0010934780584648252
55,0.0008632190874777734
56,0.0008660792955197394
57,0.0009870273061096668
58,0.0009207021212205291
59,0.0008150184294208884
60,0.0008877514628693461
61,0.0009356464142911136
62,0.0008281075861304998
63,0.0007921443902887404
64,0.0008655259152874351
65,0.0008663763874210417
66,0.000800522044301033
67,0.0008056920487433672
68,0.0008390877628698945
69,0.0007989817531779408
70,0.0007694904925301671
71,0.0008050150936469436
72,0.0008104052394628525
73,0.0007717236876487732
74,0.0007716063410043716
75,0.000790149497333914
76,0.0007707621552981436
77,0.000758763519115746
78,0.0007752194651402533
79,0.0007708587218075991
80,0.0007502862135879695
81,0.0007538723293691874
82,0.0007610244792886078
83,0.0007489493582397699
84,0.0007454369915649295
85,0.0007519071223214269
86,0.000744598510209471
87,0.0007361738826148212
88,0.0007408028468489647
89,0.0007403177442029119
90,0.0007323562167584896
91,0.0007323065074160695
92,0.0007329823565669358
93,0.0007268365006893873
94,0.0007250467897392809
95,0.0007269285270012915
96,0.0007228850154206157
97,0.0007192756165750325
98,0.0007197954691946507
99,0.0007173028425313532
